Date,Time,L/S,Trade #,Valid Entry?,MAE (pts),MFE (pts),Trade Outcome,,Real $ Premium Scaling,,,Real $ Speed Scaling,,,,,Hour,Win Streak (YES),Loss Streak (YES),,,,,,,,,,,
2/20/2026,10:00:00 AM,SHORT,T6,YES,-,120,Took Profit,,,,,,,,,,10,5,0,,,,,-65,65,-$1.75,$1.75,,3:15:00 AM,11
2/20/2026,11:00:00 AM,SHORT,T7,YES,60,180,Took Profit,,,,,,,,,,11,6,0,,,,,-70,70,-$2.00,$2.00,,3:30:00 AM,12
2/20/2026,12:00:00 PM,LONG,T8,YES,80,160,Took Profit,,,,,,,,,,12,7,0,,,,,-75,75,-$2.25,$2.25,,3:45:00 AM,13
2/20/2026,12:00:00 PM,SHORT,T9,YES,-,100,Took Profit,,,,,,,,,,12,8,0,,,,,-80,80,-$2.50,$2.50,,4:00:00 AM,14
2/20/2026,1:00:00 PM,LONG,T10,YES,-,180,Took Profit,,,,,,,,,,13,9,0,,,,,-85,85,-$2.75,$2.75,,4:15:00 AM,15
2/20/2026,1:00:00 PM,SHORT,T11,YES,20,60,Took Profit,,,,,,,,,,13,10,0,,,,,-90,90,-$3.00,$3.00,,4:30:00 AM,16
2/23/2026,9:00:00 AM,LONG,T1,YES,20,80,Took Profit,,,,,,,,,,9,11,0,,,,,-95,95,-$3.25,$3.25,,4:45:00 AM,17
2/24/2026,8:00:00 AM,SHORT,T1,YES,-,180,Took Profit,,,,,,,,,,8,12,0,,,,,-100,100,-$3.50,$3.50,,5:00:00 AM,18
2/24/2026,9:00:00 AM,LONG,T2,YES,80,300,Took Profit,,,,,,,,,,9,13,0,,,,,-105,105,-$3.75,$3.75,,5:15:00 AM,19
2/24/2026,9:00:00 AM,SHORT,T3,YES,80,60,Took Profit,,,,,,,,,,9,14,0,,,,,-110,110,-$4.00,$4.00,,5:30:00 AM,20
2/24/2026,10:00:00 AM,SHORT,T4,YES,20,40,Took Profit,,,,,,,,,,10,15,0,,,,,-115,115,-$4.25,$4.25,,5:45:00 AM,21
2/26/2026,9:00:00 AM,LONG,T1,YES,-,20,Took Loss,,,,,,,,,,9,0,1,,,,,-120,120,-$4.50,$4.50,,6:00:00 AM,22
2/27/2026,10:00:00 AM,SHORT,T1,YES,-,60,Took Profit,,Real $ Premium Scaling,,,Real $ Speed Scaling,,,,,10,1,0,,,,,-125,125,-$4.75,$4.75,,6:15:00 AM,23
2/27/2026,1:00:00 PM,LONG,T2,YES,20,120,Took Profit,Recovery,PnL,Balance,,PnL,Balance,,,,13,2,0,,,,,-130,130,-$5.00,$5.00,,6:30:00 AM,24
2/27/2026,3:00:00 PM,SHORT,T3,YES,-,60,Took Profit,,,"$10,000.00",Trade recov,,"$3,000.00",Trade recov,,,15,3,0,,,,,-135,135,-$5.25,$5.25,,6:45:00 AM,25
3/2/2026,8:00:00 AM,SHORT,T1,YES,-,120,Took Profit,,$80.00,"$10,080.00",,$80.00,"$3,080.00",,,,8,4,0,,,,,-140,140,-$5.50,$5.50,,7:00:00 AM,26
3/2/2026,8:00:00 AM,LONG,T2,YES,-,500,Took Profit,,$80.00,"$10,160.00",,$80.00,"$3,160.00",,,,8,5,0,,,,,-145,145,-$5.75,$5.75,,7:15:00 AM,27
3/2/2026,9:00:00 AM,SHORT,T3,YES,-,-,Took Loss,,-$320.00,"$9,840.00",lossA,-$320.00,"$2,840.00",lossA,,,9,0,1,,,,,-150,150,-$6.00,$6.00,,7:30:00 AM,28
3/2/2026,11:00:00 AM,SHORT,T4,YES,-,-,Took Loss,,-$320.00,"$9,520.00",lossB,-$320.00,"$2,520.00",lossB,,,11,0,2,,,,,-155,155,-$6.25,$6.25,,7:45:00 AM,29
3/3/2026,8:00:00 AM,LONG,T1,YES,20,360,Took Profit,Recovery,$320.00,"$9,840.00",Art1c,$320.00,"$2,840.00",Art1c,,,8,1,0,,,,,-160,160,-$6.50,$6.50,,8:00:00 AM,30
3/3/2026,9:00:00 AM,SHORT,T2,YES,40,220,Took Profit,Recovery,$320.00,"$10,160.00",Brt1c,$320.00,"$3,160.00",Brt1c,,,9,2,0,,,,,-165,165,-$6.75,$6.75,,8:15:00 AM,31
3/3/2026,9:00:00 AM,SHORT,T3,YES,60,240,Took Profit,,$80.00,"$10,240.00",,$80.00,"$3,240.00",,,,9,3,0,,,,,-170,170,-$7.00,$7.00,,8:30:00 AM,
3/3/2026,9:00:00 AM,LONG,T4,YES,-,80,Took Profit,,$80.00,"$10,320.00",,$80.00,"$3,320.00",,,,9,4,0,,,,,-175,175,-$7.25,$7.25,,8:45:00 AM,
3/3/2026,9:00:00 AM,LONG,T5,YES,20,40,Took Profit,,$80.00,"$10,400.00",,$80.00,"$3,400.00",,,,9,5,0,,,,,-180,180,-$7.50,$7.50,,9:00:00 AM,
3/3/2026,11:00:00 AM,SHORT,T6,YES,-,-,Took Loss,,-$320.00,"$10,080.00",lossC,-$320.00,"$3,080.00",lossC,,,11,0,1,,,,,-185,185,-$7.75,$7.75,,9:15:00 AM,
3/4/2026,9:00:00 AM,SHORT,T1,YES,-,40,Took Profit,,$80.00,"$10,160.00",,$80.00,"$3,160.00",,,,9,1,0,,,,,-190,190,-$8.00,$8.00,,9:30:00 AM,
3/5/2026,9:00:00 AM,SHORT,T1,YES,-,340,Took Profit,Recovery,$320.00,"$10,480.00",Crt1c,$320.00,"$3,480.00",Crt1c,,,9,2,0,,,,,-195,195,-$8.25,$8.25,,9:45:00 AM,
3/5/2026,10:00:00 AM,LONG,T2,YES,100,80,Took Profit,,$80.00,"$10,560.00",,$80.00,"$3,560.00",,,,10,3,0,,,,,-200,200,-$8.50,$8.50,,10:00:00 AM,
3/5/2026,12:00:00 PM,SHORT,T3,YES,40,300,Took Profit,,$80.00,"$10,640.00",,$80.00,"$3,640.00",,,,12,4,0,,,,,-205,205,-$8.75,$8.75,,10:15:00 AM,
3/5/2026,12:00:00 PM,LONG,T4,YES,-,-,Took Loss,,-$320.00,"$10,320.00",lossD,-$320.00,"$3,320.00",lossD,,,12,0,1,,,,,-210,210,-$9.00,$9.00,,10:30:00 AM,
3/5/2026,3:00:00 PM,SHORT,T5,YES,-,-,Took Loss,,-$320.00,"$10,000.00",lossE,-$320.00,"$3,000.00",lossE,,,15,0,2,,,,,-215,215,-$9.25,$9.25,,10:45:00 AM,
3/6/2026,9:00:00 AM,LONG,T1,YES,20,260,Took Profit,Recovery,$320.00,"$10,320.00",Drt1c,$320.00,"$3,320.00",Drt1c,,,9,1,0,,,,,-220,220,-$9.50,$9.50,,11:00:00 AM,
3/6/2026,9:00:00 AM,LONG,T2,YES,-,280,Took Profit,Recovery,$320.00,"$10,640.00",Ert1c,$320.00,"$3,640.00",Ert1c,,,9,2,0,,,,,-225,225,-$9.75,$9.75,,11:15:00 AM,
3/6/2026,10:00:00 AM,SHORT,T3,YES,140,160,Took Profit,,$80.00,"$10,720.00",,$80.00,"$3,720.00",,,,10,3,0,,,,,-230,230,-$10.00,$10.00,,11:30:00 AM,
3/6/2026,12:00:00 PM,LONG,T4,YES,-,120,Took Profit,,$80.00,"$10,800.00",,$80.00,"$3,800.00",,,,12,4,0,,,,,-235,235,-$10.25,$10.25,,11:45:00 AM,
3/6/2026,2:00:00 PM,LONG,T5,YES,-,60,Took Profit,,$80.00,"$10,880.00",,$80.00,"$3,880.00",,,,14,5,0,,,,,-240,240,-$10.50,$10.50,,12:00:00 PM,
3/9/2026,9:00:00 AM,SHORT,T1,YES,20,180,Took Profit,,$80.00,"$10,960.00",,$80.00,"$3,960.00",,,,9,6,0,,,,,-245,245,-$10.75,$10.75,,12:15:00 PM,
3/9/2026,9:00:00 AM,LONG,T2,YES,-,700,Took Profit,,$80.00,"$11,040.00",,$80.00,"$4,040.00",,,,9,7,0,,,,,-250,250,-$11.00,$11.00,,12:30:00 PM,
3/9/2026,10:00:00 AM,SHORT,T3,YES,20,100,Took Profit,,$80.00,"$11,120.00",,$80.00,"$4,120.00",,,,10,8,0,,,,,-255,255,-$11.25,$11.25,,12:45:00 PM,
3/9/2026,10:00:00 AM,LONG,T4,YES,-,700,Took Profit,,$80.00,"$11,200.00",,$80.00,"$4,200.00",,,,10,9,0,,,,,-260,260,-$11.50,$11.50,,1:00:00 PM,
3/9/2026,10:00:00 AM,SHORT,T5,YES,-,60,Took Profit,,$80.00,"$11,280.00",,$80.00,"$4,280.00",,,,10,10,0,,,,,-265,265,-$11.75,$11.75,,1:15:00 PM,
3/9/2026,2:00:00 PM,SHORT,T6,YES,-,-,Took Loss,,-$320.00,"$10,960.00",lossF,-$320.00,"$3,960.00",lossF,,,14,0,1,,,,,-270,270,-$12.00,$12.00,,1:30:00 PM,
3/10/2026,9:00:00 AM,SHORT,T1,YES,40,140,Took Profit,,$80.00,"$11,040.00",,$80.00,"$4,040.00",,,,9,1,0,,,,,-275,275,-$12.25,$12.25,,1:45:00 PM,
3/10/2026,10:00:00 AM,LONG,T2,YES,40,240,Took Profit,Recovery,$320.00,"$11,360.00",Frt1c,$320.00,"$4,360.00",Frt1c,,,10,2,0,,,,,-280,280,-$12.50,$12.50,,2:00:00 PM,
3/10/2026,10:00:00 AM,SHORT,T3,YES,-,-,Took Loss,,-$320.00,"$11,040.00",lossG,-$320.00,"$4,040.00",lossG,,,10,0,1,,,,,-285,285,-$12.75,$12.75,,2:15:00 PM,
3/10/2026,2:00:00 PM,LONG,T4,YES,-,60,Took Profit,,$80.00,"$11,120.00",,$80.00,"$4,120.00",,,,14,1,0,,,,,-290,290,-$13.00,$13.00,,2:30:00 PM,
3/10/2026,3:00:00 PM,LONG,T5,YES,20,40,Took Profit,Recovery,$320.00,"$11,440.00",Grt1c,$320.00,"$4,440.00",Grt1c,,,15,2,0,,,,,-295,295,-$13.25,$13.25,,2:45:00 PM,
3/11/2026,8:00:00 AM,SHORT,T1,YES,-,120,Took Profit,,$80.00,"$11,520.00",,$80.00,"$4,520.00",,,,8,3,0,,,,,-300,300,-$13.50,$13.50,,3:00:00 PM,
3/11/2026,9:00:00 AM,SHORT,T2,YES,140,160,Took Profit,,$80.00,"$11,600.00",,$80.00,"$4,600.00",,,,9,4,0,,,,,-305,305,-$13.75,$13.75,,3:15:00 PM,
3/11/2026,10:00:00 AM,LONG,T3,YES,20,80,Took Profit,,$80.00,"$11,680.00",,$80.00,"$4,680.00",,,,10,5,0,,,,,-310,310,-$14.00,$14.00,,3:30:00 PM,
3/11/2026,11:00:00 AM,LONG,T4,YES,80,40,Took Profit,,$80.00,"$11,760.00",,$80.00,"$4,760.00",,,,11,6,0,,,,,-315,315,-$14.25,$14.25,,3:45:00 PM,
3/12/2026,9:00:00 AM,LONG,T1,YES,-,20,Took Loss,,-$320.00,"$11,440.00",lossH,-$320.00,"$4,440.00",lossH,,,9,0,1,,,,,-320,320,-$14.50,$14.50,,4:00:00 PM,
3/12/2026,10:00:00 AM,LONG,T2,YES,60,80,Took Profit,,$80.00,"$11,520.00",,$80.00,"$4,520.00",,,,10,1,0,,,,,-325,325,-$14.75,$14.75,,4:15:00 PM,
3/12/2026,12:00:00 PM,LONG,T3,YES,20,100,Took Profit,PA 11 Recovery,$320.00,"$11,840.00",Hrt1c,$320.00,"$4,840.00",Hrt1c,,,12,2,0,,,,,-330,330,-$15.00,$15.00,,4:30:00 PM,
3/12/2026,1:00:00 PM,LONG,T4,YES,20,40,Took Profit,,$80.00,"$11,920.00",,$80.00,"$4,920.00",,,,13,3,0,,,,,-335,335,-$15.25,$15.25,,4:45:00 PM,
3/13/2026,10:00:00 AM,LONG,T1,YES,-,-,Took Loss,,-$320.00,"$11,600.00",lossi,-$320.00,"$4,600.00",lossi,,,10,0,1,,,,,-340,340,-$15.50,$15.50,,5:00:00 PM,
3/16/2026,1:00:00 PM,SHORT,T1,YES,-,60,Took Profit,,$80.00,"$11,680.00",,$80.00,"$4,680.00",,,,13,1,0,,,,,-345,345,-$15.75,$15.75,,5:15:00 PM,
3/17/2026,1:00:00 PM,SHORT,T1,YES,-,40,Took Profit,PA 11 Recovery,$320.00,"$12,000.00",irc1c,$320.00,"$5,000.00",irc1c,,,13,2,0,,,,,-350,350,-$16.00,$16.00,,5:30:00 PM,
3/18/2026,8:00:00 AM,LONG,T1,YES,-,-,Took Loss,,-$320.00,"$11,680.00",lossJ,-$320.00,"$4,680.00",lossJ,,,8,0,1,,,,,-355,355,-$16.25,$16.25,,5:45:00 PM,
3/19/2026,10:00:00 AM,SHORT,T1,YES,-,160,Took Profit,,$80.00,"$11,760.00",,$80.00,"$4,760.00",,,,10,1,0,,,,,-360,360,-$16.50,$16.50,,6:00:00 PM,
3/19/2026,10:00:00 AM,LONG,T2,YES,-,260,Took Profit,PA 11 Recovery,$320.00,"$12,080.00",Jrt1c,$320.00,"$5,080.00",Jrt1c,,,10,2,0,,,,,-365,365,-$16.75,$16.75,,6:15:00 PM,
3/19/2026,10:00:00 AM,SHORT,T3,YES,-,160,Took Profit,,$80.00,"$12,160.00",,$80.00,"$5,160.00",,,,10,3,0,,,,,-370,370,-$17.00,$17.00,,6:30:00 PM,
3/19/2026,11:00:00 AM,SHORT,T4,YES,-,180,Took Profit,,$80.00,"$12,240.00",,$160.00,"$5,320.00",,,,11,4,0,,,,,-375,375,-$17.25,$17.25,,6:45:00 PM,
3/19/2026,11:00:00 AM,LONG,T5,YES,40,240,Took Profit,,$80.00,"$12,320.00",,$160.00,"$5,480.00",,,,11,5,0,,,,,-380,380,-$17.50,$17.50,,7:00:00 PM,
3/19/2026,12:00:00 PM,LONG,T6,YES,-,240,Took Profit,,$80.00,"$12,400.00",,$160.00,"$5,640.00",,,,12,6,0,,,,,-385,385,-$17.75,$17.75,,7:15:00 PM,
3/19/2026,2:00:00 PM,SHORT,T7,YES,-,100,Took Profit,,$80.00,"$12,480.00",,$160.00,"$5,800.00",,,,14,7,0,,,,,-390,390,-$18.00,$18.00,,7:30:00 PM,
3/19/2026,2:00:00 PM,SHORT,T8,YES,-,-,Took Loss,,-$320.00,"$12,160.00",lossK,-$640.00,"$5,160.00",lossK,,,14,0,1,,,,,-395,395,-$18.25,$18.25,,7:45:00 PM,
3/20/2026,9:00:00 AM,LONG,T1,YES,20,60,Took Profit,,$80.00,"$12,240.00",,$160.00,"$5,320.00",,,,9,1,0,,,,,-400,400,-$18.50,$18.50,,8:00:00 PM,
3/20/2026,12:00:00 PM,LONG,T2,YES,-,40,Took Profit,PA 10 Recovery,$320.00,"$12,560.00",Krt1c,$640.00,"$5,960.00",Krt1c,,,12,2,0,,,,,-405,405,-$18.75,$18.75,,8:15:00 PM,
3/23/2026,8:00:00 AM,LONG,T1,YES,20,260,Took Profit,,$80.00,"$12,640.00",,$160.00,"$6,120.00",,,,8,3,0,,,,,-410,410,-$19.00,$19.00,,8:30:00 PM,
3/23/2026,8:00:00 AM,SHORT,T2,YES,20,220,Took Profit,,$80.00,"$12,720.00",,$160.00,"$6,280.00",,,,8,4,0,,,,,-415,415,-$19.25,$19.25,,8:45:00 PM,
3/23/2026,9:00:00 AM,LONG,T3,YES,-,200,Took Profit,,$80.00,"$12,800.00",,$160.00,"$6,440.00",,,,9,5,0,,,,,-420,420,-$19.50,$19.50,,9:00:00 PM,
3/23/2026,9:00:00 AM,SHORT,T4,YES,120,240,Took Profit,,$80.00,"$12,880.00",,$160.00,"$6,600.00",,,,9,6,0,,,,,-425,425,-$19.75,$19.75,,9:15:00 PM,
3/23/2026,11:00:00 AM,LONG,T5,YES,-,-,Took Loss,,-$320.00,"$12,560.00",lossL,-$640.00,"$5,960.00",lossL,,,11,0,1,,,,,-430,430,-$20.00,$20.00,,9:30:00 PM,
3/23/2026,2:00:00 PM,SHORT,T6,YES,20,140,Took Profit,,$80.00,"$12,640.00",,$160.00,"$6,120.00",,,,14,1,0,,,,,-435,435,-$22.00,$22.00,,9:45:00 PM,
3/23/2026,4:00:00 PM,LONG,T7,YES,20,40,Took Profit,PA 10 Recovery,$320.00,"$12,960.00",Lrt1c,$640.00,"$6,760.00",Lrt1c,,,16,2,0,,,,,-440,440,-$24.00,$24.00,,10:00:00 PM,
3/24/2026,10:00:00 AM,LONG,T1,YES,-,200,Took Profit,,$80.00,"$13,040.00",,$160.00,"$6,920.00",,,,10,3,0,,,,,-445,445,-$26.00,$26.00,,10:15:00 PM,
3/24/2026,10:00:00 AM,SHORT,T2,YES,40,120,Took Profit,,$80.00,"$13,120.00",,$160.00,"$7,080.00",,,,10,4,0,,,,,-450,450,-$28.00,$28.00,,10:30:00 PM,
3/24/2026,11:00:00 AM,SHORT,T3,YES,60,140,Took Profit,,$80.00,"$13,200.00",,$160.00,"$7,240.00",,,,11,5,0,,,,,-455,455,-$30.00,$30.00,,10:45:00 PM,
3/24/2026,1:00:00 PM,LONG,T4,YES,60,300,Took Profit,,$80.00,"$13,280.00",,$160.00,"$7,400.00",,,,13,6,0,,,,,-460,460,-$32.00,$32.00,,11:00:00 PM,
3/24/2026,2:00:00 PM,SHORT,T5,YES,20,120,Took Profit,,$80.00,"$13,360.00",,$160.00,"$7,560.00",,,,14,7,0,,,,,-465,465,-$34.00,$34.00,,11:15:00 PM,
3/24/2026,3:00:00 PM,LONG,T6,YES,-,340,Took Profit,,$80.00,"$13,440.00",,$160.00,"$7,720.00",,,,15,8,0,,,,,-470,470,-$36.00,$36.00,,11:30:00 PM,
3/24/2026,4:00:00 PM,SHORT,T7,YES,-,-,Took Loss,,-$320.00,"$13,120.00",lossM,-$640.00,"$7,080.00",lossM,,,16,0,1,,,,,-475,475,-$38.00,$38.00,,11:45:00 PM,
3/25/2026,8:00:00 AM,LONG,T1,YES,-,120,Took Profit,,$80.00,"$13,200.00",,$160.00,"$7,240.00",,,,8,1,0,,,,,-480,480,-$40.00,$40.00,,12:00:00 AM,
3/25/2026,9:00:00 AM,SHORT,T2,YES,20,200,Took Profit,PA 11 Recovery,$320.00,"$13,520.00",Mrt1c,$640.00,"$7,880.00",Mrt1c,,,9,2,0,,,,,-485,485,-$42.00,$42.00,,,
3/25/2026,9:00:00 AM,LONG,T3,YES,40,120,Took Profit,,$80.00,"$13,600.00",,$160.00,"$8,040.00",,,,9,3,0,,,,,-490,490,-$44.00,$44.00,,,
3/25/2026,10:00:00 AM,SHORT,T4,YES,20,180,Took Profit,,$80.00,"$13,680.00",,$160.00,"$8,200.00",,,,10,4,0,,,,,-495,495,-$46.00,$46.00,,,
3/25/2026,11:00:00 AM,LONG,T5,YES,80,100,Took Profit,,$80.00,"$13,760.00",,$160.00,"$8,360.00",,,,11,5,0,,,,,-500,500,-$48.00,$48.00,,,
3/25/2026,12:00:00 PM,LONG,T6,YES,-,140,Took Profit,,$80.00,"$13,840.00",,$160.00,"$8,520.00",,,,12,6,0,,,,,-505,505,-$50.00,$50.00,,,
3/25/2026,1:00:00 PM,SHORT,T7,YES,20,140,Took Profit,,$80.00,"$13,920.00",,$160.00,"$8,680.00",,,,13,7,0,,,,,-510,510,-$52.00,$52.00,,,
3/26/2026,10:00:00 AM,LONG,T1,YES,-,-,Took Loss,,-$320.00,"$13,600.00",lossN,-$640.00,"$8,040.00",lossN,,,10,0,1,,,,,-515,515,-$54.00,$54.00,,,
3/27/2026,12:00:00 PM,LONG,T1,YES,20,40,Took Profit,,$80.00,"$13,680.00",,$160.00,"$8,200.00",,,,12,1,0,,,,,-520,520,-$56.00,$56.00,,,
3/30/2026,9:00:00 AM,LONG,T1,YES,100,40,Took Profit,PA 11 Recovery,$320.00,"$14,000.00",Nrt1c,$640.00,"$8,840.00",Nrt1c,,,9,2,0,,,,,-525,525,-$58.00,$58.00,,,
3/30/2026,11:00:00 AM,LONG,T2,YES,20,100,Took Profit,,$80.00,"$14,080.00",,$160.00,"$9,000.00",,,,11,3,0,,,,,-530,530,-$60.00,$60.00,,,
3/30/2026,11:00:00 AM,SHORT,T3,YES,-,380,Took Profit,,$80.00,"$14,160.00",,$160.00,"$9,160.00",,,,11,4,0,,,,,-535,535,-$62.00,$62.00,,,
3/30/2026,12:00:00 PM,LONG,T4,YES,-,-,Took Loss,,-$320.00,"$13,840.00",,-$640.00,"$8,520.00",,,,12,0,1,,,,,-540,540,-$64.00,$64.00,,,
3/31/2026,8:00:00 AM,SHORT,T1,YES,-,60,Took Profit,,$80.00,"$13,920.00",,$160.00,"$8,680.00",,,,8,1,0,,,,,-545,545,-$66.00,$66.00,,,
3/31/2026,10:00:00 AM,LONG,T2,YES,20,,Took Profit,PA 13 Recovery,$320.00,"$14,240.00",,$640.00,"$9,320.00",,,,10,2,0,,,,,-550,550,-$68.00,$68.00,,,
3/31/2026,11:00:00 AM,SHORT,T3,YES,20,80,Took Profit,,$80.00,"$14,320.00",,$160.00,"$9,480.00",,,,11,3,0,,,,,-555,555,-$70.00,$70.00,,,
3/31/2026,12:00:00 PM,SHORT,T4,YES,-,-,Took Loss,,-$320.00,"$14,000.00",lossO,-$640.00,"$8,840.00",lossO,,,12,0,1,,,,,-560,560,-$72.00,$72.00,,,
3/31/2026,12:00:00 PM,SHORT,T5,YES,20,80,Took Profit,,$80.00,"$14,080.00",,$160.00,"$9,000.00",,,,12,1,0,,,,,-565,565,-$74.00,$74.00,,,
3/31/2026,1:00:00 PM,SHORT,T6,YES,40,60,Took Profit,PA 14 Recovery,$320.00,"$14,400.00",Ort1c,$640.00,"$9,640.00",Ort1c,,,13,2,0,,,,,-570,570,-$76.00,$76.00,,,
4/1/2026,8:00:00 AM,LONG,T1,YES,20,280,Took Profit,,$80.00,"$14,480.00",,$160.00,"$9,800.00",,,,8,3,0,,,,,-575,575,-$78.00,$78.00,,,
4/1/2026,9:00:00 AM,SHORT,T2,YES,20,100,Took Profit,,$80.00,"$14,560.00",,$160.00,"$9,960.00",,,,9,4,0,,,,,-580,580,-$80.00,$80.00,,,
4/1/2026,9:00:00 AM,LONG,T3,YES,-,280,Took Profit,,$80.00,"$14,640.00",,$160.00,"$10,120.00",,,,9,5,0,,,,,-585,585,-$82.00,$82.00,,,
4/1/2026,10:00:00 AM,SHORT,T4,YES,-,20,Took Loss,,-$320.00,"$14,320.00",lossP,-$640.00,"$9,480.00",lossP,,,10,0,1,,,,,-590,590,-$84.00,$84.00,,,
4/1/2026,2:00:00 PM,LONG,T5,YES,-,100,Took Profit,,$80.00,"$14,400.00",,$160.00,"$9,640.00",,,,14,1,0,,,,,-595,595,-$86.00,$86.00,,,
4/1/2026,3:00:00 PM,SHORT,T6,YES,-,60,Took Profit,PA 10 Recovery,$320.00,"$14,720.00",Prt1c,$640.00,"$10,280.00",Prt1c,,,15,2,0,,,,,-600,600,-$88.00,$88.00,,,
4/2/2026,10:00:00 AM,SHORT,T1,YES,-,20,Took Loss,,-$320.00,"$14,400.00",lossQ,-$640.00,"$9,640.00",lossQ,,,10,0,1,,,,,-605,605,-$90.00,$90.00,,,
4/2/2026,10:00:00 AM,SHORT,T2,YES,-,140,Took Profit,,$80.00,"$14,480.00",,$160.00,"$9,800.00",,,,10,1,0,,,,,-610,610,-$92.00,$92.00,,,
4/2/2026,11:00:00 AM,SHORT,T3,YES,-,140,Took Profit,PA 11 Recovery,$320.00,"$14,800.00",Qrt1c,$640.00,"$10,440.00",Qrt1c,,,11,2,0,,,,,-615,615,-$94.00,$94.00,,,
4/2/2026,12:00:00 PM,LONG,T4,YES,20,140,Took Profit,,$80.00,"$14,880.00",,$320.00,"$10,760.00",,,,12,3,0,,,,,-620,620,-$96.00,$96.00,,,
4/2/2026,1:00:00 PM,LONG,T5,YES,-,140,Took Profit,,$80.00,"$14,960.00",,$320.00,"$11,080.00",,,,13,4,0,,,,,-625,625,-$98.00,$98.00,,,
4/6/2026,9:00:00 AM,SHORT,T1,YES,100,120,Took Profit,,$80.00,"$15,040.00",,$320.00,"$11,400.00",,,,9,5,0,,,,,-630,630,-$100.00,$100.00,,,
4/6/2026,10:00:00 AM,SHORT,T2,YES,-,160,Took Profit,,$80.00,"$15,120.00",,$320.00,"$11,720.00",,,,10,6,0,,,,,-635,635,,,,,
4/6/2026,11:00:00 AM,LONG,T3,YES,-,100,Took Profit,,$80.00,"$15,200.00",,$320.00,"$12,040.00",,,,11,7,0,,,,,-640,640,,,,,
4/6/2026,1:00:00 PM,LONG,T4,YES,40,100,Took Profit,,$80.00,"$15,280.00",,$320.00,"$12,360.00",,,,13,8,0,,,,,-645,645,,,,,
4/7/2026,9:00:00 AM,SHORT,T1,YES,-,340,Took Profit,,$80.00,"$15,360.00",,$320.00,"$12,680.00",,,,9,9,0,,,,,-650,650,,,,,
4/7/2026,9:00:00 AM,LONG,T2,YES,-,20,Took Loss,,-$320.00,"$15,040.00",lossR,"-$1,280.00","$11,400.00",lossR,,,9,0,1,,,,,-655,655,,,,,
4/7/2026,12:00:00 PM,SHORT,T3,YES,120,80,Took Profit,,$80.00,"$15,120.00",,$320.00,"$11,720.00",,,,12,1,0,,,,,-660,660,,,,,
4/7/2026,2:00:00 PM,LONG,T4,YES,40,280,Took Profit,PA 12 Recovery,$320.00,"$15,440.00",rrt1c,"$1,280.00","$13,000.00",rrt1c,,,14,2,0,,,,,-665,665,,,,,
